Site ID ,Site Name,X (m),Y (m),Site Type,Annual mean – annualised and bias adjusted 
1,Homesdale Road,541047,168231,Roadside,28.6
2,Chatterton Road,541679,167931,Roadside,18.1
3,"Hastings Road, ",542402,166012,Kerbside,27.6
4,College Road,540336,170258,Roadside,25.6
5,London Road,539790,170050,Roadside,24.6
6,Shortlands Road,539486,169399,Roadside,25.4
7,Beckenham Road,535947,169765,Kerbside,28.8
8,Worsley Bridge Road,536941,171320,Kerbside,20
9,Links Way,537511,167277,Kerbside,24.6
10,Elmers End Road,536076,168434,Roadside,35.4
11,Anerley Road,535006,169590,Kerbside,26.3
12,Anerley Hill,533949,170624,Kerbside,36.2
13,Hamlet Road,534052,170237,Kerbside,26
14,Belverdere Road,533702,170354,Kerbside,16.5
15,Glebe Way,538398,165925,Kerbside,27.9
16,Ridgeway,540228,165941,Kerbside,15.3
17,Crofton Road,543303,165256,Kerbside,25.7
18,Towncourt Lane,544779,166831,Roadside,14.6
19,"High Street, Orpington",546190,166135,Roadside,40.6
20,Cardinham Road,545861,164813,Roadside,18.3
21,Farnborough Hill,545439,164034,Kerbside,30.5
22,Poverest Road,546821,167564,Kerbside,19.8
23,"High Street, St Mary Cray",547168,167471,Roadside,23.7
24,Midfield Way,546984,169905,Kerbside,24
25,Ashfield Lane,544437,170464,Roadside,18.9
26,Park Road,543930,170934,Roadside,19.8
27,Harwood Avenue,540525,169325,Roadside,20.5
28,Widmore Road,540519,169403,Roadside,31.1
29,Blackbrook Lane,542980,167735,Roadside,21.5
30,Old Hill,543452,169793,Kerbside,23.3
31,Mottingham Road,542847,172021,Roadside,26.4
32,Page Heath Lane,541960,168841,Kerbside,23.9
